url,lead,source,pub_date,type,news_desk,section,material,word_count,headline,author
https://www.nytimes.com/2000/11/03/arts/weekend-warrior-alone-in-the-wilds-where-nature-makes-waves.html,"There are many iconic American landscapes, but perhaps none is more evocative than the mountains and lakes of the Adirondacks. The northern forests, a mix of conifers and hardwoods, are everything we think a forest should be. The peaks are ancient, bare granite; the streams are magical, tumbling past banks blanketed in green moss and ferns. James Fenimore Cooper's Hawkeye could still be lurking in the morning mists, or at least the movie image of Daniel Day Lewis in ''The Last of the Mohicans.''",The New York Times,2000-11-03T05:00:00+0000,article,Leisure/Weekend Desk,Arts,News,1985,"Alone in the Wilds, Where Nature Makes Waves",By Jerry Beilinson
https://www.nytimes.com/2000/08/20/us/2000-campaign-president-clinton-maintains-low-profile-his-adirondacks-vacation.html,"CNN has a correspondent and crew in place, just in case news breaks out in the woods. The other networks are following along as well, betting on the proposition that President Clinton, even while on vacation, will not be able to resist a camera and boom mike in his face.",The New York Times,2000-08-20T05:00:00+0000,article,National Desk,U.S.,News,501,Clinton Maintains a Low Profile On His Adirondacks' Vacation,By Marc Lacey
https://www.nytimes.com/2000/08/22/nyregion/as-timber-prices-rise-so-do-thefts-of-trees.html,"For those without moral qualms, it has to be one of the last remaining bargains in New York State: Chop down a tree worth hundreds, even thousands, of dollars and -- if caught -- pay a paltry $10 fine.",The New York Times,2000-08-22T05:00:00+0000,article,Metropolitan Desk,New York,News,651,"As Timber Prices Rise, So Do Thefts of Trees",By Winnie Hu
https://www.nytimes.com/2000/03/27/nyregion/acid-rain-law-found-to-fail-in-adirondacks.html,"A landmark air pollution law enacted a decade ago to reduce acid rain has failed to slow the acidification of lakes and streams in the Adirondacks, many of which are rapidly losing the ability to sustain life, according to a new federal report.",The New York Times,2000-03-27T05:00:00+0000,article,Metropolitan Desk,New York,News,1218,Acid Rain Law Found to Fail in Adirondacks,By James Dao
https://www.nytimes.com/2000/02/21/nyregion/rare-avalanche-kills-one-on-an-adirondack-slope.html,"Six back-country skiers who ventured into a dangerous snowslide area were caught in a roaring avalanche and swept hundreds of yards down a mountainside in the Adirondack High Peaks of northern New York State on Saturday. Rescuers found one dead under the snow and his companions all injured, one critically.",The New York Times,2000-02-21T05:00:00+0000,article,Metropolitan Desk,New York,News,906,Rare Avalanche Kills One On an Adirondack Slope,By Robert D. McFadden
https://www.nytimes.com/2000/04/02/weekinreview/march-26-april-1-failure-is-reported-for-clean-air-act.html,"When Congress enacted amendments to the Clean Air Act in 1990, environmentalists hailed them as powerful weapons in the fight to reduce acid rain. But a new federal report showed that many lakes, ponds and streams in the Northeast, particularly in the Adirondack Mountains, are continuing to turn acidic and are in growing danger of becoming lifeless.",The New York Times,2000-04-02T05:00:00+0000,article,Week in Review Desk,Week in Review,News,78,March 26-April 1; Failure Is Reported For Clean Air Act,By James Dao
https://www.nytimes.com/2000/04/19/nyregion/owner-of-chemical-dumper-gave-to-mayor.html,"The Renco Group, a New York-based company whose holdings include a Utah company that was identified by federal environmental officials as the No. 1 toxic chemical dumper in the nation in 1998, donated $100,000 to the soft-money campaign committee set up to help Mayor Rudolph W. Giuliani, according to federal records.",The New York Times,2000-04-19T05:00:00+0000,article,Metropolitan Desk,New York,News,257,Owner of Chemical Dumper Gave to Mayor,By Adam Nagourney
https://www.nytimes.com/2000/10/08/travel/travel-advisory-by-water-or-by-land-foliage-on-the-hudson.html,Travelers in the New York area can take their pick of transportation to view the autumn landscape along the Hudson River.,The New York Times,2000-10-08T05:00:00+0000,article,Travel Desk,Travel,News,335,"By Water or by Land, Foliage on the Hudson",NA
https://www.nytimes.com/2000/08/19/nyregion/mrs-clinton-takes-a-busman-s-holiday.html,Some Adirondacks getaway! Hillary Rodham Clinton barely had enough time to unpack her bags at the lakeside home where the first family is spending the weekend before she was off to a political rally to talk up her Senate bid.,The New York Times,2000-08-19T05:00:00+0000,article,Metropolitan Desk,New York,News,432,Mrs. Clinton Takes a Busman's Holiday,By Marc Lacey
https://www.nytimes.com/2000/05/04/nyregion/mrs-clinton-calls-on-giuliani-to-reject-independence-party.html,Hillary Rodham Clinton called on Mayor Rudolph W. Giuliani today to reject the nomination of the Independence Party if the organization nominates Patrick J. Buchanan to run for president.,The New York Times,2000-05-04T05:00:00+0000,article,Metropolitan Desk,New York,News,439,Mrs. Clinton Calls On Giuliani To Reject Independence Party,By Julian E. Barnes
